;Kingdom;Phylum;Class;Order;Family;Genus
ASV_5905;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter
ASV_5906;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
ASV_5907;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas
ASV_5908;Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;NA
ASV_5909;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_5910;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV_5911;Bacteria;Cyanobacteria;Cyanobacteriia;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena PCC-7429
ASV_5912;Bacteria;Proteobacteria;Alphaproteobacteria;Dongiales;Dongiaceae;Dongia
ASV_5913;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylovulum
ASV_5914;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;NA
ASV_5915;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;NA
ASV_5916;Bacteria;NA;NA;NA;NA;NA
ASV_5917;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
ASV_5918;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;NA;NA
ASV_5919;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
ASV_5920;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_5921;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Dechloromonas
ASV_5922;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;NA
ASV_5923;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group
ASV_5924;Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria;NA;NA
ASV_5925;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;NA
ASV_5926;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Plot4-2H12
ASV_5927;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola
ASV_5928;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
ASV_5929;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;Cellvibrio
ASV_5930;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides
ASV_5931;Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;NA
ASV_5932;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter
ASV_5933;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_5934;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Emticicia
ASV_5935;Bacteria;Planctomycetota;OM190;NA;NA;NA
ASV_5936;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;NA
ASV_5937;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;NA
